case_name,method,selected_count,objective_mape_pct,worst_objective_error_pct,line_loading_mae_pct,voltage_min_mae_pu,selection_time_s,reduced_opf_time_s,full_opf_time_s,time_saving_ratio,scenario_retention_ratio,sample_id,sample_seed
case118,opf_sensitivity,4,1.7075705359842164,4.121970702119189,0.011018198938917015,0.0003367636967227651,0.30205860000023677,1.351266300000134,6.209190099998523,4.595089879765304,0.2222222222222222,3,2028
case118,opf_kkt_active_set,4,2.257472659871055,4.203454619079331,0.015773916477935135,0.000277879984087015,0.001328500000454369,1.3261923999998544,6.209190099998523,4.6819677898917265,0.2222222222222222,3,2028
case118,kmeans_feature,8,0.6456922836194257,3.9269188547194864,0.004242263118984408,0.00011151635539693079,0.3114564000006794,2.7391252999987046,6.209190099998523,2.266851428812497,0.4444444444444444,3,2028
case118,forward_feature,8,0.5786067822096821,3.9269188547194864,0.004613160891964914,0.00020920173916477095,0.0007096000008459669,2.797180899999148,6.209190099998523,2.219802837921714,0.4444444444444444,3,2028
case118,opf_sensitivity,8,0.41009425384198195,1.5424272441155205,0.002816640397096442,0.00014579255216643863,0.3060623999990639,2.661663499999122,6.209190099998523,2.3328231010421008,0.4444444444444444,3,2028
case118,opf_kkt_active_set,8,1.142287676983174,3.778538705846718,0.008008552009198144,0.00017352190704321579,0.0013617000004160218,2.684845800002222,6.209190099998523,2.312680340894581,0.4444444444444444,3,2028
case118,kmeans_feature,12,0.2766039832248794,1.664843346386946,0.002014316119187528,6.783588474738404e-05,0.3063277000001108,4.096075199997358,6.209190099998523,1.5158877210073016,0.6666666666666666,3,2028
case118,forward_feature,12,0.2512328796992048,1.664843346386946,0.0018544363550129105,6.215419629127282e-05,0.0007311999997909879,4.1232887999995,6.209190099998523,1.505882901047163,0.6666666666666666,3,2028
case118,opf_sensitivity,12,0.14996078162771864,1.0147385822311643,0.0009503464596471507,8.367855408780094e-05,0.3020698000000266,4.122031800001423,6.209190099998523,1.5063421150696554,0.6666666666666666,3,2028
case118,opf_kkt_active_set,12,0.3104939077575677,1.6850278078477487,0.0017786956986878266,0.0001558005104504249,0.0013468999986798735,4.095544100002371,6.209190099998523,1.5160842975649873,0.6666666666666666,3,2028
case30,kmeans_feature,4,1.1200000422180008,2.2974432610277224,0.6729064899604593,0.0015510585562366187,0.30284369999935734,0.5792195000012725,2.6981092000041826,4.65818087961171,0.2222222222222222,4,2029
case30,forward_feature,4,1.3781292229976414,3.9907622184385643,1.0727319704620892,0.002832826556213296,0.000634899999568006,0.5873640000008891,2.6981092000041826,4.593589665011984,0.2222222222222222,4,2029
case30,opf_sensitivity,4,1.596111104235189,5.171720443959975,0.7265569626737979,0.0052668307619698025,0.29816740000023856,0.626233000000866,2.6981092000041826,4.308474960598454,0.2222222222222222,4,2029
case30,opf_kkt_active_set,4,2.306286688724442,5.430639392454531,1.3215027529512318,0.004770774816349034,0.001936199998453958,0.5854272000015044,2.6981092000041826,4.6087868824633516,0.2222222222222222,4,2029
case30,kmeans_feature,8,0.7108387429935804,2.937462563054367,0.5048418022499632,0.00026232859924220825,0.3142377000003762,1.20172520000051,2.6981092000041826,2.2451964891832485,0.4444444444444444,4,2029
case30,forward_feature,8,1.1780033965176055,4.434980561527277,0.8256001631140251,0.0015050904533701922,0.0006618000006710645,1.188804600002186,2.6981092000041826,2.269598553033208,0.4444444444444444,4,2029
case30,opf_sensitivity,8,0.9048956555264124,3.8376122391099887,0.5343832155730203,0.001458120181879309,0.3044047999992472,1.1919591000023502,2.6981092000041826,2.2635920980836195,0.4444444444444444,4,2029
case30,opf_kkt_active_set,8,1.131174675219949,3.8388078933886147,0.8070498199201666,0.0016573079616782646,0.0019422000004851725,1.2076516000015545,2.6981092000041826,2.234178466704064,0.4444444444444444,4,2029
case30,kmeans_feature,12,0.3535846202182453,2.0754098654142963,0.32663427811201884,7.042260668102231e-05,0.3286857000002783,1.8201698000029864,2.6981092000041826,1.4823392850489858,0.6666666666666666,4,2029
